ifeng.com,210.51.19.61
bbc.co.uk,212.58.244.18
yandex.ru,213.180.204.11
cnet.com,64.30.224.118
go.com,68.71.220.3
4399.com,115.182.52.231
orkut.com,74.125.142.87
skype.com,91.190.216.21
ameblo.jp,180.233.142.129
naver.com,125.209.222.141
flickr.com,69.147.76.173
4shared.com,74.117.178.54
myspace.com,216.178.46.224
amazon.co.jp,54.240.250.0
dailymotion.com,195.8.215.138
imdb.com,72.21.210.29
linkedin.com,216.52.242.86
aol.com,207.200.74.38
amazon.com,72.21.194.212
facebook.com,173.252.110.27
wordpress.com,66.155.11.243
tudou.com,123.126.98.173
yahoo.co.jp,203.216.243.240
sohu.com,123.125.116.19
hao123.com,180.149.132.19
apple.com,17.172.224.47
windows.com,64.4.11.37
ebay.com,66.135.205.13
pps.tv,58.83.190.154
xunlei.com,58.251.57.175
56.com,59.32.213.232
paypal.com,66.211.169.66
fc2.com,54.241.184.224
tmall.com,110.75.20.163
goo.ne.jp,218.213.142.230
ku6.com,122.11.45.242
rakuten.co.jp,202.72.51.22
about.com,207.241.148.80
orkut.com.br,74.125.142.85
mail.ru,217.69.139.199
yahoo.com,206.190.36.45
live.com,65.55.206.154
wikipedia.org,208.80.154.224
youtube.com,74.125.225.174
msn.com,65.55.206.228
microsoft.com,65.55.58.201
baidu.com,220.181.111.86
qq.com,125.39.240.113
taobao.com,110.75.20.163
bing.com,204.79.197.200
blogspot.com,74.125.142.191
soso.com,183.61.32.183
163.com,123.58.180.8
paipai.com,112.90.140.151
hotmail.com,65.55.77.28
alipay.com,110.75.143.33
360.cn,220.181.24.100
adobe.com,192.150.16.117
softonic.com,46.28.209.20
nifty.com,210.131.4.217
twitter.com,199.59.148.10
imageshack.us,208.94.1.8
cnn.com,157.166.226.26
ask.com,66.235.120.127
craigslist.org,208.82.238.129
tianya.cn,124.225.135.222
sogou.com,218.30.103.111
soku.com,211.151.146.5
weather.com,96.8.84.132
youku.com,121.9.204.234
sdjjdsaf.com,
mozilla.com,63.245.217.194
andysayler.com,198.199.109.206
partypoker.com,194.150.36.34
zynga.com,74.114.13.1
alibaba.com,205.204.96.36
mywebsearch.com,74.113.233.48
walmart.com,161.170.244.20
kugou.com,183.61.119.254
hp.com,15.192.124.145
ebay.de,66.135.200.23
youdao.com,61.135.218.27
hotfile.com,199.7.177.216
wmfo.org,23.92.21.128
renren.com,220.181.181.222
livedoor.jp,125.6.149.67
blogger.com,74.125.142.191
vkontakte.ru,87.240.156.167
qiyi.com,220.181.73.5
answers.com,67.196.156.65
pconline.com.cn,219.136.245.40
odnoklassniki.ru,217.20.147.94
jp.msn.com,207.46.68.62
rapidshare.com,154.46.193.4
daum.net,110.45.215.23
sina.com.cn,202.108.33.60
7k7k.com,115.182.59.33
2345.com,42.62.4.52
mediafire.com,205.196.120.12
photobucket.com,209.17.80.100
seesaa.net,59.106.28.139
ehow.com,98.124.247.46
